ID,Species,Site,Eelgrass,GFI,Group,Detail,Abundance,Biomass
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Gammarid,Cyphocaris,1,0.1
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Tisbe,5,0.1
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Tisbe,11,0.4
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Harpacticoida,6,0.1
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Harpacticoida,7,0.1
BCHUM5,Chum,Qualicum,Noneelgrass,25-50%,Gammarid,Cyphocaris,1,0.1
BCHUM5,Chum,Qualicum,Noneelgrass,25-50%,Harpacticoid,Harpacticus,1,0.4
BCHUM5,Chum,Qualicum,Noneelgrass,25-50%,Fish,Neopterygii,1,10.2
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Tisbe,3,0.1
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Fish,Neopterygii,1,12.2
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Ectinosoma melaniceps,2,0.1
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Harpacticus,44,5.7
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Harpacticus,19,0.1
BCHUM6,Chum,Qualicum,Noneelgrass,50-75%,Barnacle,Balanomorpha,1,0.1
BCHUM7,Chum,Qualicum,Noneelgrass,0-25%,Digested food,Digested food,1,1.9
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Cyclopoid/Poecilostomatoid,Ditrichocorycaeus anglicus,1,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,1,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,5,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Diosaccus spinatus,1,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Sarsamphiascus,1,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Microsetella norvegica,1,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,2,0.1
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,84,3.2
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,144,2
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,36,0.4
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,44,0.4
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,8,0.4
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,72,5.6
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,48,0.4
BCHUM8,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,328,5.6
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Cyclopoid/Poecilostomatoid,Ditrichocorycaeus anglicus,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Detritus,Rocks/Plastic,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Gammarid,Gammaridea,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Gammarid,Gammaridea,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,3,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Cyclopoid/Poecilostomatoid,Oncaea borealis,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,22,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,7,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,7,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,18,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,2,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,14,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,35,2.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,105,1.4
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Eurytemora affinis,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanoida,2,0.6
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Insect,Insecta,2,0.8
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,3,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Sarsamphiascus,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Microsetella norvegica,2,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tigriopus,6,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tigriopus,2,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Amphiascus,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM9,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,192,2.6
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Insect,Insecta,1,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Insect,Simuliidae,1,0.6
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Scolecithricella minor,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Orthopsyllus linearis,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Isopod,Isopoda,1,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,2,0.1
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,4,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,4,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,36,2
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,12,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,8,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,72,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,20,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,84,0.4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,320,8
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,156,4
BCHUM10,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,276,8.8
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Calanoid,Calanoida,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Scutellidium,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Insect,Insecta,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Cyclopoid/Poecilostomatoid,Ditrichocorycaeus anglicus,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Sarsamphiascus,1,0.1
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Harpacticus,28,3.2
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Harpacticus,4,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Pseudobradya,4,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Tisbe,144,2
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Tisbe,72,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Zaus,44,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Zaus,36,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Harpacticoida,24,0.4
BCHUM11,Chum,Qualicum,Eelgrass,50-75%,Harpacticoid,Harpacticoida,272,2.4
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanus glandula,1,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,35,2.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,14,1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,4,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,2,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,16,0.2
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,11,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,89,3.2
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,55,0.8
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,1,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,26,0.1
BCHUM12,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,78,1.8
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Insect,Insecta,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Isopod,Isopoda,1,0.4
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia tisboides,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,2,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,2,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Cyphonaut,Bryozoa,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Gammarid,Gammaridea,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanoida,2,0.2
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Sarsamphiascus,4,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Amphiascus,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,1,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,19,1.3
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,3,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Crustacean,Crustacea,4,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanomorpha,2,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,25,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,10,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,3,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,7,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,6,0.1
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,178,4.3
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,55,1.4
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,302,7.2
BCHUM29,Chum,Qualicum,Eelgrass,75-100%,Detritus,Rocks/Plastic,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus marshallae,1,1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,5,0.2
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Amphiascopsis cinctus,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tigriopus,4,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Sarsamphiascus,3,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Microsetella norvegica,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Amphiascus,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,1,0.1
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,16,0.4
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,20,0.4
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,220,2.4
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,48,0.4
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,20,0.4
BCHUM30,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,428,5.2
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Dactylopusia,3,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticus,49,4
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticus,16,0.8
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticus,6,0.2
BCHUM31,Chum,Qualicum,Eelgrass,100%,Calanoid,Calanoida,1,0.4
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Sarsamphiascus,7,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Amphiascopsis,4,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Amphiascus,1,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Barnacle,Balanus glandula,1,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Ostracod,Ostracoda,3,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Pseudobradya,6,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Microsetella rosea,1,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Thalestris longimanna,2,0.1
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Zaus,16,0.4
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticoida,220,1.6
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Tisbe,404,14
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Tisbe,144,4.4
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Scutellidium,28,0.4
BCHUM31,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticoida,348,8.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Gammarid,Gammaridea,3,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,35,3.2
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,3,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,7,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tigriopus,4,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Insect,Insecta,2,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Isopod,Isopoda,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,6,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Cyclopoid/Poecilostomatoid,Oncaea borealis,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Sarsamphiascus,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Microsetella rosea,1,0.1
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,52,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,308,9.2
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,56,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,16,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium,16,0.4
BCHUM32,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,328,6.8
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticus,17,1.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Parathalestris bulbiseta,1,0.3
BCHUM33,Chum,Qualicum,Eelgrass,100%,Ostracod,Ostracoda,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Cyphonaut,Bryozoa,2,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Cyclopoid/Poecilostomatoid,Ditrichocorycaeus anglicus,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Sarsamphiascus,2,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Amphiascopsis,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticoida,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticus,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Insect,Insecta,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Barnacle,Balanus crenatus,2,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Barnacle,Balanus glandula,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Pseudobradya,14,0.6
BCHUM33,Chum,Qualicum,Eelgrass,100%,Cladoceran,Evadne tergestina,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Microsetella norvegica,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Pteropod,Gastropoda,3,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Gammarid,Gammaridea,7,0.4
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Ectinosoma melaniceps,4,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Diatom,Coscinodiscophycidae,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Microsetella rosea,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Bivalve,Kellia suborbicularis,1,0.1
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticoida,100,0.4
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Scutellidium,24,0.4
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Zaus,36,0.4
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Tisbe,580,11.2
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Tisbe,144,2.8
BCHUM33,Chum,Qualicum,Eelgrass,100%,Harpacticoid,Harpacticoida,652,16
BCHUM44,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,2,0.1
BCHUM44,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Microsetella rosea,2,0.1
