Key,region_name,Station,lon,lat,day,month,year,STN_TIME,Twilight,Net_Type,Mesh_Size(um),Net_Mouth_Dia(m),DEPTH_STRT,DEPTH_END,Bottom Depth(m),Volume Filtered(m3),CTD,NOTES,PI,NumberOfSpecies,SumOfDiversity,ANNE:POLY: >> POLY larvae s1,ANNE:POLY: >> POLY s1,ANNE:POLY: >> POLY s2,ANNE:POLY: >> POLY s3,ARCR:: >> CIRRI s1,ARCR:: >> CRUST larvae s1,ARCR:AMPH: >> AMPHI s1,ARCR:AMPH: >> AMPHI s2,ARCR:AMPH: >> AMPHI s3,ARCR:AMPH:GAMM >> GAMM s1,ARCR:AMPH:GAMM >> GAMM s2,ARCR:AMPH:GAMM >> GAMM s3,ARCR:AMPH:HYPE >> HYPER s1,ARCR:AMPH:HYPE >> HYPER s2,ARCR:AMPH:HYPE >> HYPER s3,ARCR:CLAD: >> CLADO s1,ARCR:COPE: >> COPE other <2mm,ARCR:COPE: >> COPE other >2mm,ARCR:COPE: >> COPEN s1,ARCR:COPE:CALA >> CALA <1mm,ARCR:COPE:CALA >> CALA <3mm>1mm,ARCR:COPE:CALA >> CALA <5mm>3mm,ARCR:COPE:CALA >> CALA >5mm,ARCR:CUMA: >> CUMAC s1,ARCR:CUMA: >> CUMAC s2,ARCR:CUMA: >> CUMAC s3,ARCR:DECA: >> DECA s1,ARCR:DECA: >> DECA s2,ARCR:DECA: >> DECA s3,ARCR:DECA:CARI >> CARID s1,ARCR:DECA:CARI >> CARID s2,ARCR:DECA:CARI >> CARID s3,ARCR:DECA:MYSI >> MYSID s2,ARCR:DECA:MYSI >> MYSID s3,ARCR:EUPH: >> EUPH eggs,ARCR:EUPH: >> EUPH s1,ARCR:EUPH: >> EUPH s2,ARCR:EUPH: >> EUPH s3,ARCR:ISOP: >> ISOPOD s1,ARCR:ISOP: >> ISOPOD s2,ARCR:ISOP: >> ISOPOD s3,ARCR:OSTR: >> OSTRA <3mm,ARCR:OSTR: >> OSTRA >3mm,CHAE:: >> CHAET s1,CHAE:: >> CHAET s2,CHAE:: >> CHAET s3,CHAE:: >> EUKHA s2,CHAE:: >> EUKHA s3,CHAE:: >> PATEL s2,CHAE:: >> PATEL s3,CNID:ANTH: >> ANTH s1,CNID:ANTH: >> ANTH s2,CNID:HYDR: >> MEDUS s1,CNID:HYDR: >> MEDUS s2,CNID:HYDR: >> MEDUS s3,CNID:HYDR:SIPH >> CALYC s1,CNID:HYDR:SIPH >> CALYC s2,CNID:HYDR:SIPH >> CALYC s3,CNID:HYDR:SIPH >> PHYS float >5mm,CNID:HYDR:SIPH >> PHYS s1,CNID:HYDR:SIPH >> PHYS s2,CNID:SCYF: >> SCYPH s1,CNID:SCYF: >> SCYPH s2,CNID:SCYF: >> SCYPH s3,CTEN:: >> CTENO s1,CTEN:: >> CTENO s2,CTEN:: >> CTENO s3,ECHI:: >> ECHIN s1,ECTO:: >> BRYOC s1,MOCE:OCTO: >> CEPH s1,MOCE:OCTO: >> CEPH s2,MOCE:OCTO: >> CEPH s3,MOGA:HETE: >> HETERO s1,MOGA:PTER: >> CLIO s1,MOGA:PTER: >> CLIO s2,MOGA:PTER: >> CLIO s3,MOGA:PTER: >> GYMNO s1,MOGA:PTER: >> GYMNO s2,MOGA:PTER: >> GYMNO s3,MOGA:PTER: >> LIM-- s0,MOGA:PTER: >> LIM-- s1,MOGA:PTER: >> LIM-- s2,MOGA:PTER: >> LIM-- s3,MOLL:: >> MOLL s1,PROT:: >> PROTO s1,PROT:: >> PROTO s2,UROC:LARV: >> LARVAC s1,UROC:LARV: >> LARVAC s2,UROC:LARV: >> LARVAC s3,UROC:THAL: >> DOLIO s1,UROC:THAL: >> DOLIO s2,UROC:THAL: >> DOLIO s3,UROC:THAL: >> SALP s1,UROC:THAL: >> SALP s2,UROC:THAL: >> SALP s3,VERT:PISC: >> PISCES egg s1,VERT:PISC: >> PISCES s1,VERT:PISC: >> PISCES s2,VERT:PISC: >> PISCES s3,XXXX >> Remainder
UBC200800003701,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,250,0.5,30,0,333,9.48,, ,4,31,2.309,0,0.03544,0,0,1.21519,0.00034,0,0,0,0,0,0,0,0,0.34599,0.05907,0.24221,0,0.00152,0.35713,3.38229,0.25316,0,0,0,0,0,0,0,0,0,0,0,0,0.09873,0,0,0,0.03038,0,0,0.50633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84388,0,0,2.43882,0,0,0,0.00101,0,0,0.03376,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003801,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,150,0.5,30,0,333,8.25,, ,4,26,1.374,0,0,0.11757,0,1.62909,0.00349,0,0,0,0,0,0,0.45964,0,0,0,0.55292,0,0.0384,0.06071,1.34545,1.45091,0,0,0,0,0,0,0,0,0,0,0,0,0.00873,0,0,0,0,0,0,0.58182,0,0,0,0,0,0.1697,0,0,0,0,0,0,0,1.16364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003901,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,250,0.5,10,0,333,4.32,, ,4,27,2.642,0,0,0,0,0.55556,0.00102,0,0,0,0,0,0,0.10972,0,0,0.04861,0.03399,0,0.00083,0.07769,0.15741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07523,0,0,0,0.00833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25926,0,0,0,0.00574,0.0095,0,0.44445,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004001,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,150,0.5,10,0,333,3.72,, ,4,20,1.52,0,0,0,0,3.95699,0.07828,0,0,0,0,0,0,0,0,0,0.12903,0.09418,0,0.17032,0.1557,0.15484,0.05914,0,0,0,0,0.94624,0,0,0,0,0,0,0,0.27097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09677,0,0,0,0.00774,0,0,2.10753,0,0,0,0,0,0,0,0,0,0,0,0,0.10323
UBC200800004101,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,250,0.5,300,0,333,98.67,, ,4,42,2.338,0,0,0.41675,1.70974,0,0,0,0,0,0,2.94931,2.77288,0,1.06115,0,0,0.37491,0,0.00467,0.52435,19.22661,5.21819,0.52884,0,0,0,0,0.04773,0,0,0,0,0,0,0,0,0,2.45059,0.0467,0,0,5.18902,0,0,0,0,0,1.36212,0,0.34053,0,0,0,0,0.02331,0,0.38269,0,0,0,0,0,0,0,0,0,0.03547,0,0,0,0,0,0,0,0,0,0,0,0.77024,0.22053,1.97183,0,0,0.00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004201,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,150,0.5,300,0,333,90.11,, ,4,39,2.493,0,0,0.52558,1.81112,0,0.00398,0,0,0,0,2.64352,1.0121,0,0.52274,0.10876,0,0.15483,0,0.01108,0.75399,13.91509,5.90033,0.76351,0,0,0,0,0.13661,0,0,0,0,0,0,0,0,0.30896,6.54378,0,0,0,5.68195,0,0,0,0,0,0.99434,0,1.11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15537,0,0,0,0,0,0,0,0,0,1.42049,0,1.26512,0.24148,2.15914,0.02031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004301,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,250,0.5,100,0,333,25.01,, ,4,40,2.155,0,0,0.10876,0.67973,0.20472,0,0,0,0,0,2.57417,1.60256,0,1.16434,0.58936,0,0.26357,0,0,0.75721,18.15594,1.04278,0.19032,0,0,0,0,0.81047,0,0,0,0,0,0.22791,0.00576,0,0,3.39064,0.04606,0,0,2.81487,0,0,0,0,0,0,0,0.16793,0,0,0,0.2379,0.12875,0.76769,0.02359,0,0,0,0,0,0,0,0,0.06797,0,0,0,0,0,0,0,0,0,0,0.63974,0.69972,1.82327,0.21751,1.94482,0,0,0,0,0,0,0.00864,0,0,0,0,0,0,0,0,0.02799,0,0,0
UBC200800004401,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,150,0.5,100,0,333,21.11,, ,4,48,2.535,0,0,0.20843,0,2.18285,0.01273,0,0,0,0,1.41051,0,0,1.23998,2.17148,0,0.56361,0,0.01364,0.83766,14.16733,1.28471,0.12885,0,0,0,0,0.60019,0,0,0,0,0,0,0.04245,0,0,0.1658,1.15206,0,0,2.12221,0,0,0,0,0,0,0,0.39792,0,0,0,0.23685,0.61014,0,0.22359,0.1118,0,0,0,0,0,0,0,0,0.1658,0,0,0,0,0,0,0,0,0,1.51587,0,0,0.5154,1.15206,0,0,0.00364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004501,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,250,0.5,30,0,333,7.14,, ,4,37,2.364,0,0,0.09524,2.38095,1.70308,0,0,0,0,0,1.38655,0.79832,0.53109,1.15294,0.68627,0.03361,0.08291,0,0,0.85421,21.43417,1.44538,0.19048,0,0,0,0,1.97899,2.26891,0,0,0,0,0,0.02017,0,0.2437,0,0,0,0,0.44818,0,0,0,0,0,0.19608,0,0.14706,0,0,0,0.35014,2.95238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4902,2.12885,0.19048,0.85154,0,0,0.00583,0,0,0,0.03025,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004601,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,150,0.5,30,0,333,6.75,, ,4,36,2.391,0,0,0.10074,0,2.84444,0.00379,0,0,0,0,0.48889,0,0.01185,0.43615,1.45778,0,0.63526,0,0.07111,1.52797,23.02806,1.36741,0.10074,0,0,0,0,0.69778,0,0,0,0,0,0,0.04504,0,0,6.91852,0.08533,0,0,3.31852,0,0,0,0,0,0,0,0.31111,0,0,0,0.74074,0,0,0,0,0,0,0,0,0,0,0,0,1.55556,0,0,0,0,0,0,0,0,0,0,0,1.12593,3.2237,1.80148,0,0,0.02276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004701,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,250,0.5,10,0,333,4.5,, ,4,32,1.905,0,0,0,1.97778,3.27111,0,0,0,0,0,1.46667,0,0,0,0,0.07111,0.128,0,0,1.44248,37.58577,1.59556,0.15111,0,0,0,0,4.82889,0,0,0,0,0,0,0.016,0,0.14444,33.93334,0,0,0,0.71111,0,0,0,0,0,0,0,1.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75556,0,0,0,0,0,0,0,0,0,0,0,0.77778,8.44444,0.60444,1.35111,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004801,BC Inlets,DFO2,-127.557,51.522,23,7,2008,22:30,Daylight,Bongo VNH,150,0.5,10,0,333,3.73,, ,4,33,1.894,0,0,0.1823,2.94906,1.8874,0.00601,0,0,0,0,2.65416,0,0,0,0,0.06434,0.30455,0,0.1956,2.74702,26.03755,2.7748,0.72922,0,0,0,0,3.30026,0,0,0,0,0,0,0.04504,0,0.4075,50.05362,0,0,0,1.71581,0,0,0,0,0,0,0,0.2815,0,0,0,0.33512,0,0,0,0,0,0,0,0,0,0,0,0.45576,0,0,0,0,0,0,0,0,0,0,2.14477,0,6.1126,1.09383,3.26005,0.49062,0,0.00257,0,0,0.0429,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800004901,BC Inlets,DFO2,-127.557,51.522,5,8,2008,13:02,Daylight,Bongo VNH,250,0.5,300,0,333,25.13,, ,4,34,2.594,0,0,0.00836,0,0.35496,0,0,0,0,0,0,0,0,0,0,0.00159,0.00378,0,0.00057,0.03736,0.42079,0.05093,0,0,0,0,0,0,0,0,0.01289,0,0,0,0.00215,0,0,0.84361,0,0,0,0.14325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04696,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0.12177,0,0,0,0.00074,0,0,0.01114,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800005001,BC Inlets,DFO2,-127.557,51.522,5,8,2008,13:02,Daylight,Bongo VNH,150,0.5,300,0,333,64.19,, ,4,43,2.616,0,0,0.39258,0,0.35893,0,0,0,0,0,0.51647,0,0,3.91887,0.17854,0.00998,0.16064,0,0.01406,0.35126,10.90265,4.62751,1.01199,0,0,0,0,6.15801,0,0,0,0.07104,0,0,0.00449,0,0,5.29678,0,0,0,4.28727,0,0,0,0,0,0.34896,0,0.39258,0,0,0,0,0,0.59822,0.07353,0,0,0.07278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAK201499113001,BC Inlets,DFO2,-127.558,51.521,4,6,2014,14:36,Daylight,Bongo VNH,250,0.5,330,0,333,55.08,, Flowmeter reading may be incorrect. Value entered was 96.127 m_.,39,51,2.705,0,0.0244,0.02469,0.49383,0.25562,0,0,0,0,0,2.17342,2.08279,0,0.53653,0.56427,0.60421,0.0682,0,0,0.6652,33.5192,5.80247,0.31518,0,0,0,0,0,0,0,0.05084,0.08279,0,0.04285,0.12723,0,0,0,0,0,0,1.62672,0,0,0,0,0,0,0.01278,2.59259,0,0,0,0,0,0,0.12854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1329,0,0.03904,0,0,0.40668,0.03137,0,0,0,0,0,0,0,0.00109,0,0,0,0
HAK201499122601,BC Inlets,DFO2,-127.558,51.521,20,6,2014,12:39,Daylight,Bongo VNH,250,0.5,320,0,333,53.41,, Flowmeter reading may be incorrect. Value entered was 99.995 m_.,39,40,2.4,0.09586,0.07669,0.05691,0.25463,0.74294,0,0,0,0,0,2.60925,1.72103,0,0,0.24565,0.13181,0.05992,0,0.00216,1.33105,19.62538,2.93728,0.15278,0,0,0,0,0,0,0.02756,0,0,0,0,0.12881,0.04793,0.22018,0,0,0,0,1.07845,0,0,0,0,0,0,0,0,0,0,0,0,1.73001,0,0.04419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20371,0,0,0,0,0,0,0.22767,0,0,0,0,0,0,0,0,0.00449,0.0337,0,0,0
HAK201499124401,BC Inlets,DFO2,-127.558,51.521,26,6,2014,12:00,Daylight,Bongo VNH,250,0.5,320,0,333,53.41,,Poor condition Flowmeter reading may be incorrect. Value entered was 87.711 m_.,39,42,2.445,0,0,0.08238,0.50927,1.60569,0,0,0,0,0,1.60929,0.85377,0,0.12642,1.16383,0.24565,0.03175,0,0,0.63137,39.5839,4.34106,0.51227,0,0,0,0.26362,0.0373,0,0,0,0,0,0,0.03475,0,0.58416,0.96761,0,0,0,1.67759,0,0,0,0,0,0,0,1.25819,0,0,2.10897,0,0,0,0.17675,0,0.7639,0,0.06725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10185,0,0.54821,0,0.00647,0,0,1.09043,0.09706,0,0,0,0,0,0,0,0,0,0,0,0
HAK201498000601,BC Inlets,FZH01,-127.896,51.639,9,6,2014,9:10,Daylight,Bongo VNH,250,0.5,290,0,290,48.4,, Flowmeter reading may be incorrect. Value entered was 79.818 m_.,39,49,2.717,0.05289,0.02314,0.04546,1.29753,0.59505,0,0,0,0,0,2.94281,4.7405,0,0.06975,0,0.11901,0.0119,0,0.00119,1.13409,4.64762,1.81818,0.0562,0,0,0,0.00186,0,0,0,0.05207,0.30826,0,0,0.33487,0,0,0,0,0,0,0.13223,0,0,0,0,0,0,0,0.78099,0,0,0.01157,0,0,0,0.14628,0,0,0,0,0,0,0,0,0,0,0.03094,0,0,0,0,0,0,0,0,0,0,0.6281,0.0562,0,0,0,0.00357,0,0,2.08264,0,0,0,0,0,0,0,0,0.00145,0,0,0,0
