SiteName,Region,Latitude,Longitude
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Burnaby Fraser Foreshore Park - Event 2,Greater Vancouver,49.19323148,-123.0006123
Deer Lake Park South West,Greater Vancouver,49.23441332,-122.9854202
Deer Lake East - Event 2,Greater Vancouver,49.23682317,-122.9669666
Barnet Beach Marine Park - Event 2,Greater Vancouver,49.29190951,-122.9265404
Barnet Beach Marine Park - Event 3,Greater Vancouver,49.29210543,-122.9275703
Stoney Creek North,Greater Vancouver,49.26119533,-122.8980446
Deer Lake East,Greater Vancouver,49.23654296,-122.9660225
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Stoney Creek Park Trails,Greater Vancouver,49.25567763,-122.904439
Terminus Park,Greater Vancouver,49.18327428,-122.9840469
Barnet Beach Marine Park - Event 2,Greater Vancouver,49.29190951,-122.9265404
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Burnaby Lake,Greater Vancouver,49.24522872,-122.9494572
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Confederation Park - Event 2,Greater Vancouver,49.29087388,-122.999754
Byrne Creek at Meadow Ave,Greater Vancouver,49.19418502,-122.9647994
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Deer Lake East,Greater Vancouver,49.23654296,-122.9660225
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Barnet Beach Marine Park - Event 2,Greater Vancouver,49.29190951,-122.9265404
Stoney Creek North,Greater Vancouver,49.26119533,-122.8980446
Elk Falls Park-Comox Logging Bridge on Hwy 28,Vancouver Island,50.03793073,-125.2893305
Nunns Creek Park,Vancouver Island,50.028641,-125.257273
Willow Creek Estuary,Vancouver Island,49.964944,-125.207965
Erickson Road Beach,Vancouver Island,49.96397562,-125.208478
Dahl,Vancouver Island,49.957653,-125.206547
Hilchey Road Waterfront,Vancouver Island,49.9740784,-125.2198076
Adams Park,Vancouver Island,49.971675,-125.216168
Freddies,Vancouver Island,50,-125.230536
Elk Falls Park-Comox Logging Bridge on Hwy 28,Vancouver Island,50.03793073,-125.2893305
Erickson Road Beach,Vancouver Island,49.96397562,-125.208478
Tyee Spit - South,Vancouver Island,50.045489,-125.251888
"Maritime Heritage Centre, north and south",Vancouver Island,50.019598,-125.237232
Rotary Beach South,Vancouver Island,49.99408448,-125.227747
Marine Heritage Centre,Vancouver Island,50.00134,-125.230665
Hidden Harbour (South),Vancouver Island,50.002664,-125.231094
Freddies,Vancouver Island,50,-125.230536
Big Rock,Vancouver Island,49.993155,-125.227337
Rotary Beach to Third Avenue,Vancouver Island,50.013327,-125.233075
Williams Beach,Vancouver Island,49.843468,-125.07048
Erickson Road Beach,Vancouver Island,49.96397562,-125.208478
Willow Creek Estuary,Vancouver Island,49.964944,-125.207965
Adams Park,Vancouver Island,49.971675,-125.216168
Larwood Park,Vancouver Island,49.969571,-125.211712
"Maritime Heritage Centre, north and south",Vancouver Island,50.019598,-125.237232
Hilchey Road Waterfront,Vancouver Island,49.9740784,-125.2198076
Simms Creek,Vancouver Island,49.9778319,-125.2216101
Tyee Spit - North,Vancouver Island,50.049479,-125.256758
Tyee Spit - South,Vancouver Island,50.045489,-125.251888
Elk Falls Park-Comox Logging Bridge on Hwy 28,Vancouver Island,50.03793073,-125.2893305
Willow Creek Estuary,Vancouver Island,49.964944,-125.207965
Tyee Spit - South,Vancouver Island,50.045489,-125.251888
"Chained Islands, Granite Bay",Vancouver Island,50.25104682,-125.352459
Stories Beach,Vancouver Island,49.923637,-125.183677
Discovery Plaza,Vancouver Island,50.034651,-125.254784
"Maritime Heritage Centre, north and south",Vancouver Island,50.019598,-125.237232
Island View Regional Park/Beach,Vancouver Island,48.572387,-123.366688
Island View Regional Park/Beach,Vancouver Island,48.572387,-123.366688
Island View Regional Park/Beach,Vancouver Island,48.572387,-123.366688
Island View Regional Park/Beach,Vancouver Island,48.572387,-123.366688
Island View Regional Park/Beach - Event 2,Vancouver Island,48.56706599,-123.3682251
Island View Regional Park/Beach,Vancouver Island,48.572387,-123.366688
Kinsman Park Beach,Vancouver Island,48.928766,-123.7180602
Kinsman Park Beach,Vancouver Island,48.928766,-123.7180602
Kinsman Park Beach,Vancouver Island,48.928766,-123.7180602
Kinsman Park Beach,Vancouver Island,48.928766,-123.7180602
Sea Otter Cove,Vancouver Island,50.67535825,-128.2804871
Cherry Point to Hatch Point,Vancouver Island,48.70965425,-123.5567093
Cherry Point to Hatch Point,Vancouver Island,48.70965425,-123.5567093
Cherry Point to Hatch Point,Vancouver Island,48.70965425,-123.5567093
Cherry Point to Hatch Point,Vancouver Island,48.70965425,-123.5567093
Esquimalt Lagoon along Coburg Peninsula East,Vancouver Island,48.43062435,-123.4570599
Fort Rodd Hill National Historic Site,Vancouver Island,48.431452,-123.44885
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Esquimalt Lagoon along Royal Roads Property,Vancouver Island,48.430401,-123.470334
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Fort Rodd Hill National Historic Site,Vancouver Island,48.431452,-123.44885
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Esquimalt Lagoon along Coburg Peninsula East,Vancouver Island,48.43062435,-123.4570599
Esquimalt Lagoon along Royal Roads Property,Vancouver Island,48.430401,-123.470334
Fort Rodd Hill National Historic Site,Vancouver Island,48.431452,-123.44885
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Esquimalt Lagoon along Coburg Peninsula East,Vancouver Island,48.43062435,-123.4570599
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Esquimalt Lagoon along Coburg Peninsula East,Vancouver Island,48.43062435,-123.4570599
Esquimalt Lagoon along Royal Roads Property,Vancouver Island,48.430401,-123.470334
Colwood Creek Park,Vancouver Island,48.43461076,-123.5094595
Esquimalt Lagoon along Coburg Peninsula West - Event 2,Vancouver Island,48.41766636,-123.4718227
Esquimalt Lagoon along Coburg Peninsula West - Event 3,Vancouver Island,48.41780877,-123.4719944
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Esquimalt Lagoon along Coburg Peninsula East,Vancouver Island,48.43062435,-123.4570599
Esquimalt Lagoon along Coburg Peninsula West - Event 2,Vancouver Island,48.41766636,-123.4718227
Fort Rodd Hill National Historic Site,Vancouver Island,48.431452,-123.44885
Fort Rodd Hill National Historic Site,Vancouver Island,48.431452,-123.44885
Esquimalt Lagoon along Coburg Peninsula West,Vancouver Island,48.41723912,-123.4723377
Kin Beach Park,Vancouver Island,49.72924,-124.895966
Point Holmes,Vancouver Island,49.693474,-124.865786
Brooklyn Creek,Vancouver Island,49.66906,-124.910507
Kye Bay Beach,Vancouver Island,49.707395,-124.872634
Cape Lazo,Vancouver Island,49.706609,-124.862208
Marina Park (Port Augusta Street),Vancouver Island,49.671543,-124.92637
Comox Valley Harbour Authority Marina,Vancouver Island,49.668963,-124.927434
Air Force Beach,Vancouver Island,49.718491,-124.885342
Goose Spit,Vancouver Island,49.66496,-124.902285
Point Holmes,Vancouver Island,49.693474,-124.865786
Kin Beach Park,Vancouver Island,49.72924,-124.895966
Comox Valley Harbour Authority Marina,Vancouver Island,49.668963,-124.927434
Marina Park (Port Augusta Street),Vancouver Island,49.671543,-124.92637
Little River,Vancouver Island,49.738778,-124.9256873
Cape Lazo Campground,Vancouver Island,49.68415155,-124.8792744
Point Holmes,Vancouver Island,49.693474,-124.865786
Marina Park (Port Augusta Street),Vancouver Island,49.671543,-124.92637
Comox Valley Harbour Authority Marina,Vancouver Island,49.668963,-124.927434
Marina Park (Port Augusta Street),Vancouver Island,49.671543,-124.92637
Kye Bay Beach,Vancouver Island,49.707395,-124.872634
Goose Spit,Vancouver Island,49.66496,-124.902285
Cape Lazo Campground,Vancouver Island,49.68415155,-124.8792744
Point Holmes,Vancouver Island,49.693474,-124.865786
Goose Spit,Vancouver Island,49.66496,-124.902285
Cape Lazo Campground,Vancouver Island,49.68415155,-124.8792744
Point Holmes - Event 2,Vancouver Island,49.69331356,-124.8665714
Towhee Creek,Vancouver Island,49.70938453,-124.9990296
Courtenay River - Simms Park,Vancouver Island,49.690592,-124.993414
Courtenay River/Comox Harbour at Dyke Road Park,Vancouver Island,49.682447,-124.975738
Courtenay River at Lewis Park,Vancouver Island,49.694177,-124.996277
Gartley Point - Royston,Vancouver Island,49.645911,-124.930086
Denman Island,Vancouver Island,49.53519403,-124.8225403
Towhee Creek,Vancouver Island,49.70938453,-124.9990296
Courtenay River - Simms Park,Vancouver Island,49.690592,-124.993414
Courtenay River at Airport Park,Vancouver Island,49.679642,-124.978444
Denman Island,Vancouver Island,49.53519403,-124.8225403
Gartley Point - Royston,Vancouver Island,49.645911,-124.930086
Denman Island,Vancouver Island,49.53519403,-124.8225403
K'omoks First Nation Village,Vancouver Island,49.67737611,-124.9548054
Courtenay River at Airport Park,Vancouver Island,49.679642,-124.978444
Towhee Creek,Vancouver Island,49.70938453,-124.9990296
Courtenay River - Simms Park,Vancouver Island,49.690592,-124.993414
Finlay Creek,Vancouver Island,49.73305109,-124.9861336
Arden Elementary School Creek,Vancouver Island,49.672932,-125.0225687
Towhee Creek,Vancouver Island,49.70938453,-124.9990296
Morrison Creek Park,Vancouver Island,49.683212,-125.017037
Courtenay River at Lewis Park,Vancouver Island,49.694177,-124.996277
Courtenay River - Simms Park,Vancouver Island,49.690592,-124.993414
Courtenay River at Airport Park,Vancouver Island,49.679642,-124.978444
Gartley Point - Royston,Vancouver Island,49.645911,-124.930086
Denman Island,Vancouver Island,49.53519403,-124.8225403
Maple Lake,Vancouver Island,49.63842681,-125.0136423
Gartley Point - Royston,Vancouver Island,49.645911,-124.930086
Cowichan Bay at Hecate Park,Vancouver Island,48.74268,-123.627355
"Kil Pah Las Beach, Cowichan Bay",Vancouver Island,48.74051224,-123.6131001
Mill Bay from Marina to Verdier Point,Vancouver Island,48.648406,-123.55196
Cowichan River Rotary Park,Vancouver Island,48.7760745,-123.6843395
Koksilah Side Channel,Vancouver Island,48.751061,-123.636366
Verdier Point to northern border of Bamberton Park,Vancouver Island,48.634884,-123.534544
Mill Stream and Unnamed Creek at Brentwood Bay College,Vancouver Island,48.656156,-123.561668
Mill Bay from Marina to Verdier Point,Vancouver Island,48.648406,-123.55196
Cowichan Bay at Hecate Park,Vancouver Island,48.74268,-123.627355
Mill Bay from Marina to Verdier Point,Vancouver Island,48.648406,-123.55196
Cowichan River Rotary Park,Vancouver Island,48.7760745,-123.6843395
Verdier Point to northern border of Bamberton Park,Vancouver Island,48.634884,-123.534544
Mill Bay at Brentwood College Campus,Vancouver Island,48.652198,-123.552627
Cowichan River - between Skutz Falls and Cowichan Lake,Vancouver Island,48.82947,-124.030244
Cowichan River - between Skutz Falls and Cowichan Lake,Vancouver Island,48.82947,-124.030244
Cowichan Bay at Hecate Park,Vancouver Island,48.74268,-123.627355
Cowichan River Rotary Park,Vancouver Island,48.7760745,-123.6843395
Mill Bay from Marina to Verdier Point,Vancouver Island,48.648406,-123.55196
Bright Angel Park,Vancouver Island,48.735652,-123.677159
Cowichan Bay at Hecate Park,Vancouver Island,48.74268,-123.627355
Cowichan River Rotary Park,Vancouver Island,48.7760745,-123.6843395
Koksilah Side Channel,Vancouver Island,48.751061,-123.636366
Maple Bay Beach and Chisholm Trail,Vancouver Island,48.815667,-123.609774
Quamichan Lake,Vancouver Island,48.788489,-123.671747
Holland Creek and Park,Vancouver Island,48.979752,-123.803006
Maple Bay Beach and Chisholm Trail,Vancouver Island,48.815667,-123.609774
Maple Bay along Arbutus Av,Vancouver Island,48.822622,-123.594471
Maple Bay Beach and Chisholm Trail,Vancouver Island,48.815667,-123.609774
Maple Bay Beach and Chisholm Trail,Vancouver Island,48.815667,-123.609774
Maple Bay Beach and Chisholm Trail,Vancouver Island,48.815667,-123.609774
Crofton Launch and vicinity,Vancouver Island,48.86544877,-123.6396217
Crofton Oceanfront at Osborne Bay Regional Park,Vancouver Island,48.857407,-123.617876
Crofton Launch and vicinity,Vancouver Island,48.86544877,-123.6396217
Crofton Oceanfront at Osborne Bay Regional Park,Vancouver Island,48.857407,-123.617876
Crofton Launch and vicinity,Vancouver Island,48.86544877,-123.6396217
Crofton Oceanfront at Osborne Bay Regional Park,Vancouver Island,48.857407,-123.617876
Crofton Launch and vicinity,Vancouver Island,48.86544877,-123.6396217
Browning Road,Greater Vancouver,49.43651514,-123.6973
Browning Road,Greater Vancouver,49.43651514,-123.6973
Camp Olave Beach - Event 3,Greater Vancouver,49.4367384,-123.6918926
Camp Olave Beach - Event 2,Greater Vancouver,49.4367105,-123.691206
Camp Olave Beach,Greater Vancouver,49.43669654,-123.6904764
Deas Island-Deas Slough,Greater Vancouver,49.119992,-123.062066
Burns Bog,Greater Vancouver,49.14623278,-122.9328918
Boundary Bay 1A Avenue to 3rd Avenue,Greater Vancouver,49.006579,-123.03627
Tsawwassen Beach,Greater Vancouver,49.013987,-123.095264
Annacis Island at Alex Fraser Bridge,Greater Vancouver,49.16239975,-122.9444361
"Purfleet Point, Annacis Island",Greater Vancouver,49.159336,-122.985164
Beach Along Tsawwassen Ferry Causeway -South East Side,Greater Vancouver,49.022406,-123.107428
Boundary Bay at 112th St,Greater Vancouver,49.083589,-122.912558
Tsawwassen Ferry Causeway (North),Greater Vancouver,49.012259,-123.125521
Centennial Beach (North),Greater Vancouver,49.016776,-123.040252
Cougar Creek at Westview Drive,Greater Vancouver,49.13351442,-122.919631
Centennial Beach (South),Greater Vancouver,49.013142,-123.03874
Tsawwassen Ferry Causeway (south),Greater Vancouver,49.011931,-123.122268
Boundary Bay at Beach Grove (Central),Greater Vancouver,49.027331,-123.057261
Boundary Bay - 12 Ave Dyke Trail (South),Greater Vancouver,49.02286,-123.04966
Boundary Bay Delta Heritage Airpark,Greater Vancouver,49.07649,-122.936565
Watershed Park,Greater Vancouver,49.114574,-122.897435
72 Street Dyke Access,Greater Vancouver,49.06008851,-123.0223274
Boundary Bay at Beach Grove (North),Greater Vancouver,49.033833,-123.053497
Boundary Bay - 12 Ave Dyke Trail (South),Greater Vancouver,49.02286,-123.04966
Watershed Park,Greater Vancouver,49.114574,-122.897435
Burns Bog,Greater Vancouver,49.14623278,-122.9328918
Tsawwassen Ferry Causeway (south),Greater Vancouver,49.011931,-123.122268
Boundary Bay at Beach Grove (Central),Greater Vancouver,49.027331,-123.057261
Boundary Bay at Beach Grove (North),Greater Vancouver,49.033833,-123.053497
Beach Along Tsawwassen Ferry Causeway -South East Side,Greater Vancouver,49.022406,-123.107428
Dow Delta Bar Fishing Park,Greater Vancouver,49.14685036,-123.0051184
Boundary Bay Delta Heritage Airpark,Greater Vancouver,49.07649,-122.936565
Tsawwassen Beach,Greater Vancouver,49.013987,-123.095264
Derwent Way to Bird Sanctuary,Greater Vancouver,49.16385901,-122.9474401
Centennial Beach (South),Greater Vancouver,49.013142,-123.03874
Boundary Bay 1A Avenue to 3rd Avenue,Greater Vancouver,49.006579,-123.03627
Deas Island-Deas Slough,Greater Vancouver,49.119992,-123.062066
Boundary Bay at 112th St,Greater Vancouver,49.083589,-122.912558
Boundary Bay - 12 Ave Dyke Trail (South),Greater Vancouver,49.02286,-123.04966
Boundary Bay at 64th Street,Greater Vancouver,49.04945763,-123.0464029
72 Street Dyke Access,Greater Vancouver,49.06008851,-123.0223274
Deas Island-Deas Slough,Greater Vancouver,49.119992,-123.062066
Boundary Bay Delta Heritage Airpark,Greater Vancouver,49.07649,-122.936565
Beach Along Tsawwassen Ferry Causeway -South East Side,Greater Vancouver,49.022406,-123.107428
72 Street Dyke Access,Greater Vancouver,49.06008851,-123.0223274
Deas Island Regional Park,Greater Vancouver,49.12685914,-123.0573463
Tsawwassen Ferry Causeway (south),Greater Vancouver,49.011931,-123.122268
Centennial Beach (North),Greater Vancouver,49.016776,-123.040252
Boundary Bay at Beach Grove (Central),Greater Vancouver,49.027331,-123.057261
Boundary Bay at Beach Grove (North),Greater Vancouver,49.033833,-123.053497
Watershed Park,Greater Vancouver,49.114574,-122.897435
Tsawwassen Beach,Greater Vancouver,49.013987,-123.095264
Derwent Way to Bird Sanctuary,Greater Vancouver,49.16385901,-122.9474401
Cougar Creek at Lyon Rd,Greater Vancouver,49.12688722,-122.9003191
Boundary Bay at 64th Street,Greater Vancouver,49.04945763,-123.0464029
Beach Along Tsawwassen Ferry Causeway -South East Side,Greater Vancouver,49.022406,-123.107428
Tsawwassen Beach,Greater Vancouver,49.013987,-123.095264
Tsawwassen Ferry Causeway (south),Greater Vancouver,49.011931,-123.122268
"Purfleet Point, Annacis Island",Greater Vancouver,49.159336,-122.985164
Boundary Bay at Beach Grove (North),Greater Vancouver,49.033833,-123.053497
72 Street Dyke Access,Greater Vancouver,49.06008851,-123.0223274
Boundary Bay Delta Heritage Airpark,Greater Vancouver,49.07649,-122.936565
Deas Island Regional Park,Greater Vancouver,49.12685914,-123.0573463
Boundary Bay at 64th Street - Event 2,Greater Vancouver,49.0490076,-123.0473042
Boundary Bay at Beach Grove (Central),Greater Vancouver,49.027331,-123.057261
Watershed Park,Greater Vancouver,49.114574,-122.897435
Tsawwassen Beach,Greater Vancouver,49.013987,-123.095264
Centennial Beach (South),Greater Vancouver,49.013142,-123.03874
Boundary Bay Delta Heritage Airpark,Greater Vancouver,49.07649,-122.936565
Deas Island Regional Park,Greater Vancouver,49.12685914,-123.0573463
Boundary Bay Delta Heritage Airpark - Event 2,Greater Vancouver,49.07735182,-122.9347801
Centennial Beach (North),Greater Vancouver,49.016776,-123.040252
Beach Along Tsawwassen Ferry Causeway -South East Side,Greater Vancouver,49.022406,-123.107428
Tsawwassen Ferry Causeway (south),Greater Vancouver,49.011931,-123.122268
Tsawwassen Ferry Causeway (North),Greater Vancouver,49.012259,-123.125521
Cougar Creek at Lyon Rd,Greater Vancouver,49.12688722,-122.9003191
Centennial Beach (South),Greater Vancouver,49.013142,-123.03874
Macaulay Point Park and Fleming Park,Vancouver Island,48.420378,-123.410547
Gorge Waterway at Kinsmen Park,Vancouver Island,48.446685,-123.406576
West Bay Park and West Bay Promenade,Vancouver Island,48.428696,-123.39422
Macaulay Point Park and Fleming Park,Vancouver Island,48.420378,-123.410547
Saxe Point and Saxe Point Park,Vancouver Island,48.421582,-123.419257
Archipelago Marine Research,Vancouver Island,48.4281754,-123.3981371
Macaulay Point Park and Fleming Park,Vancouver Island,48.420378,-123.410547
Saxe Point and Saxe Point Park,Vancouver Island,48.421582,-123.419257
Saxe Point and Saxe Point Park - Event 2,Vancouver Island,48.42273603,-123.4185219
Saxe Point and Saxe Point Park,Vancouver Island,48.421582,-123.419257
Archipelago Marine Research,Vancouver Island,48.4281754,-123.3981371
Gorge Waterway at Kinsmen Park,Vancouver Island,48.446685,-123.406576
Macaulay Point Park and Fleming Park,Vancouver Island,48.420378,-123.410547
Ships Point Regional Park,Vancouver Island,49.49204736,-124.7913408
Ships Point Regional Park,Vancouver Island,49.49204736,-124.7913408
Stories Beach,Vancouver Island,50.697884,-127.420085
Twin Beaches in Gabriola Sands Provincial Park,Vancouver Island,49.194376,-123.85803
Drumbeg Provincial Park,Vancouver Island,49.13334594,-123.6934376
Drumbeg Provincial Park,Vancouver Island,49.13334594,-123.6934376
Sturdies Bay,Vancouver Island,48.87806643,-123.3162117
Burgoyne Bay Provincial Park,Vancouver Island,48.78843194,-123.5174417
Vesuvius Terminal,Vancouver Island,48.88145318,-123.5722446
Chaster Park,Greater Vancouver,49.402039,-123.569962
"Wreck Beach, Keats Island",Greater Vancouver,49.39980315,-123.4319544
Gibsons Harbour,Greater Vancouver,49.40173,-123.504567
Hopkins Landing Beach,Greater Vancouver,49.428502,-123.478637
"West Beach, Keats Island",Greater Vancouver,49.39343508,-123.447361
Chaster Park,Greater Vancouver,49.402039,-123.569962
Chaster Park,Greater Vancouver,49.402039,-123.569962
Gibsons Harbour,Greater Vancouver,49.40173,-123.504567
Gibsons Harbour,Greater Vancouver,49.40173,-123.504567
Soames Beach,Greater Vancouver,49.41541259,-123.4885597
Soames Beach,Greater Vancouver,49.41541259,-123.4885597
Hopkins Landing Beach,Greater Vancouver,49.428502,-123.478637
Langdale Terminal Beach,Greater Vancouver,49.43364059,-123.4737539
Sandspit Beach,North Coast,53.244918,-131.825582
Brooks Cove,Greater Vancouver,49.5094,-123.9474
7 Beaches Trail and Hakai Pass,Greater Vancouver,51.64007423,-128.1496811
Cape Palmerston,Vancouver Island,50.60833,-128.306765
Hecht Beach,Vancouver Island,50.52346809,-128.1774902
Rugged Point Marine Provincial Park,Vancouver Island,49.96601843,-127.2469139
South Arm Marshes,Greater Vancouver,49.11202899,-123.0795765
Ladner Harbour Park and Yacht Club,Greater Vancouver,49.096387,-123.083434
Ladner Harbour Park and Yacht Club,Greater Vancouver,49.096387,-123.083434
South Arm Marshes,Greater Vancouver,49.11202899,-123.0795765
The Nature Trust of BC's Boundary Bay - Event 3,Greater Vancouver,49.05722009,-123.0257177
The Nature Trust of BC's Boundary Bay - Event 2,Greater Vancouver,49.05668575,-123.027091
The Nature Trust of BC's Boundary Bay - Event 3,Greater Vancouver,49.05722009,-123.0257177
Transfer Beach Park,Vancouver Island,48.991351,-123.807423
Ladysmith Harbour,Vancouver Island,49.010661,-123.837816
Pebble Beach (Central),Vancouver Island,49.253485,-124.076212
Nanoose Bay,Vancouver Island,49.2561538,-124.1300583
Sebastion Road Beach and Pebble Beach,Vancouver Island,49.25570564,-124.0811348
Sebastion Road Beach and Pebble Beach,Vancouver Island,49.25570564,-124.0811348
Lions Bay Beach,Greater Vancouver,49.45808284,-123.2413673
Gambier Island Ekins Point/Douglas Bay,Greater Vancouver,49.53367611,-123.3782673
Lions Bay Beach,Greater Vancouver,49.45808284,-123.2413673
Gambier Island Ekins Point/Douglas Bay,Greater Vancouver,49.53367611,-123.3782673
Bamberton Provincial Park,Vancouver Island,48.601303,-123.522279
Bamberton Provincial Park,Vancouver Island,48.601303,-123.522279
Bamberton Provincial Park,Vancouver Island,48.601303,-123.522279
Bamberton Provincial Park - Event 2,Vancouver Island,48.6037441,-123.5208321
Naikoon Provincial Park,North Coast,54.015918,-131.689446
Naikoon Provincial Park,North Coast,54.015918,-131.689446
Masset Inlet,North Coast,54.02713344,-132.1655273
Naikoon Provincial Park,North Coast,54.015918,-131.689446
Rose Spit,North Coast,54.17489482,-131.6539764
Village Bay,Vancouver Island,48.84235,-123.3218765
Taylor Rd,Vancouver Island,48.36634309,-123.5319901
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Albert Head Lagoon and Albert Head Lagoon Regional Park,Vancouver Island,48.395159,-123.48895
Taylor Rd,Vancouver Island,48.36634309,-123.5319901
Taylor Rd,Vancouver Island,48.36634309,-123.5319901
Albert Head Lagoon and Albert Head Lagoon Regional Park,Vancouver Island,48.395159,-123.48895
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Taylor Rd,Vancouver Island,48.36634309,-123.5319901
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Witty's Lagoon Regional Park Beach,Vancouver Island,48.38415964,-123.5146093
Taylor Rd,Vancouver Island,48.36634309,-123.5319901
Mill Bay Nature Park,Vancouver Island,48.65907986,-123.5518169
